User_ID,Risk_Profile
U0001,High
U0002,Low
U0003,Low
U0004,Low
U0005,Medium
U0006,Low
U0007,Medium
U0008,Medium
U0009,Medium
U0010,Medium
U0011,Medium
U0012,Medium
U0013,Low
U0014,Medium
U0015,Medium
U0016,Medium
U0017,High
U0018,High
U0019,High
U0020,Low
U0021,Medium
U0022,Low
U0023,Low
U0024,Low
U0025,Low
U0026,Low
U0027,Medium
U0028,High
U0029,Low
U0030,High
U0031,Low
U0032,Low
U0033,Medium
U0034,Medium
U0035,Low
U0036,Low
U0037,Medium
U0038,Low
U0039,Medium
U0040,Medium
U0041,Low
U0042,High
U0043,Low
U0044,Medium
U0045,Medium
U0046,High
U0047,Medium
U0048,Medium
U0049,Low
U0050,Medium
U0051,Medium
U0052,Medium
U0053,High
U0054,Low
U0055,High
U0056,High
U0057,Medium
U0058,Medium
U0059,Low
U0060,High
U0061,Low
U0062,Medium
U0063,Medium
U0064,High
U0065,Medium
U0066,Medium
U0067,Low
U0068,Low
U0069,Low
U0070,High
U0071,Medium
U0072,Medium
U0073,Medium
U0074,Medium
U0075,Low
U0076,Low
U0077,Low
U0078,Medium
U0079,Low
U0080,Medium
U0081,Medium
U0082,Medium
U0083,Low
U0084,Low
U0085,Low
U0086,Medium
U0087,Low
U0088,High
U0089,Medium
U0090,Low
U0091,Medium
U0092,Medium
U0093,Medium
U0094,Low
U0095,Low
U0096,Low
U0097,Low
U0098,Medium
U0099,Medium
U0100,High
U0101,Low
U0102,Low
U0103,Medium
U0104,Low
U0105,Low
U0106,Medium
U0107,Low
U0108,Medium
U0109,Low
U0110,Medium
U0111,High
U0112,Low
U0113,High
U0114,Medium
U0115,High
U0116,Low
U0117,Medium
U0118,Medium
U0119,Medium
U0120,Medium
U0121,Medium
U0122,High
U0123,Low
U0124,Low
U0125,Medium
U0126,Medium
U0127,Medium
U0128,Medium
U0129,High
U0130,Medium
U0131,Low
U0132,Low
U0133,High
U0134,Medium
U0135,High
U0136,Low
U0137,Medium
U0138,Medium
U0139,Low
U0140,Medium
U0141,Medium
U0142,Medium
U0143,High
U0144,High
U0145,High
U0146,High
U0147,Medium
U0148,Low
U0149,High
U0150,Medium
U0151,Low
U0152,Medium
U0153,Low
U0154,Medium
U0155,Low
U0156,Low
U0157,High
U0158,Medium
U0159,Medium
U0160,Medium
U0161,High
U0162,Medium
U0163,Medium
U0164,High
U0165,Low
U0166,High
U0167,Medium
U0168,Medium
U0169,Low
U0170,Medium
U0171,Medium
U0172,High
U0173,High
U0174,High
U0175,Low
U0176,High
U0177,Medium
U0178,High
U0179,Low
U0180,Medium
U0181,High
U0182,High
U0183,Medium
U0184,Medium
U0185,Low
U0186,Medium
U0187,Medium
U0188,Low
U0189,Low
U0190,Low
U0191,Medium
U0192,Low
U0193,Medium
U0194,Low
U0195,Medium
U0196,Medium
U0197,Medium
U0198,Medium
U0199,Medium
U0200,Low
U0201,High
U0202,Low
U0203,Low
U0204,Medium
U0205,Low
U0206,High
U0207,Low
U0208,Medium
U0209,Low
U0210,Low
U0211,Low
U0212,High
U0213,High
U0214,Medium
U0215,High
U0216,Medium
U0217,High
U0218,High
U0219,Low
U0220,Medium
U0221,Medium
U0222,Low
U0223,Low
U0224,High
U0225,High
U0226,Medium
